player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
alex-singleton,Alex Singleton,LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-buckley,Andrew Buckley,QB,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,28.0,16.0,1.0,2.0,253.0,,,,,,,,,,,,,,,,,,,,,,,,,
brad-erdos,Brad Erdos,OL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DB/DL,3.0,3.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,17.0,1.0,5.0,,4.0,17.0,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamar-wall,Jamar Wall,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-vaughters,James Vaughters,DB/DL,2.0,4.0,4.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerome-messam,Jerome Messam,RB,,,,,,,,,,-1.0,1.0,2.0,,-1.0,-1.0,,,,,,28.0,12.0,1.0,135.0,,6.0,1.0,1.0,,,,,,
joe-burnett,Joe Burnett,DB/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-bell,Josh Bell,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kamar-jorden,Kamar Jorden,WR,,,,,,,,,,21.0,8.0,9.0,,36.0,88.0,,,,,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,20.0,4.0,4.0,1.0,15.0,61.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
maleki-harris,Maleki Harris,LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marken-michel,Marken Michel,WR,,,,,,,,,,,,,,,,22.0,3.0,,,57.0,,,,,,,,,,,,,,
marquay-mcdaniel,Marquay McDaniel,WR,,,,,,,,,,,2.0,6.0,1.0,30.0,88.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
micah-johnson,Micah Johnson,DB/DL,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-kashak,Michael Kashak,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,78.0,4.0,4.0,103.0,266.0,,,,,,9.0,,,2.0,2.0,47.0,9.0,3.0,3.0
rob-maver,Rob Maver,K/P,,,,,,,,,,,,,,,,53.0,7.0,7.0,44.0,320.0,,,,,,,,,,,,,,
roy-finch,Roy Finch,RB,,,,,,,,,,,,,,,,39.0,8.0,,,122.0,1.0,4.0,,4.0,,,,,,,,,,
shaquille-richardson,Shaquille Richardson,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tommie-campbell,Tommie Campbell,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
