player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts
alex-taylor,Alex Taylor,OT/RB/DB,,,,2.0,,2.0,,,,,,,,,,,4.0,1.0,1.0,,4.0,4.0,,,,,,2.0,28.0,,31.0,,,,,,,,,,
almondo-sewell,Almondo Sewell,DT/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bralon-addison,Bralon ADDISON,WR,,,,,,,,,,,,,,,,,31.0,5.0,6.0,,22.0,53.0,,,,,,2.0,12.0,,13.0,2.0,,,4.0,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,,25.0,8.0,13.0,1.0,31.0,81.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,
brian-walker,Brian Walker,DB,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,,,71.0,,,,,,,,,,,,,,
cj-gable,C.J. Gable,RB,,,,,,,,,,,,,,,,,29.0,4.0,4.0,,46.0,50.0,,,,,,11.0,11.0,,47.0,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christion-jones,Christion Jones,RB,,,,,,,,,,,,,,,,,,,,,,,29.0,5.0,,,108.0,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,,17.0,3.0,6.0,,12.0,33.0,,,,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,,,,32.0,24.0,,47.0,22.0,3.0,2.0,277.0,,,,,,,,,,,,2.0,14.0,,22.0,,,,,,,,,,
david-ungerer,David Ungerer,WR,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,5.0,,,,,,,,,,,,,,
david-watford,David Watford,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,1.0,16.0,,,,6.0,1.0,1.0,,,,
delvin-breaux,Delvin Breaux,DB,1.0,4.0,,2.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-unamba,Don Unamba,LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dylan-wynn,Dylan Wynn,DT/DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrest-hightower,Forrest Hightower,DB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankie-williams,Frankie Williams,DB,,,,7.0,,7.0,,,,,,,,,,,,,,,,,29.0,3.0,,,77.0,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,,,,16.0,4.0,6.0,,10.0,40.0,,,,,,,,,,,,,,,,,,,
harry-mcmaster,Harry McMaster,WR,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
hugh-oneill,Hugh O'Neill,K,,,,,,,,,,,,,,,,,,,,,,,68.0,3.0,3.0,77.0,189.0,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,,,1.0,3.0,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jackson-bennett,Jackson Bennett,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0,,37.0,,,,,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,3.0,29.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,
jeremiah-briscoe,Jeremiah Briscoe,QB,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
