player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
abdul-kanneh,Abdul Kanneh,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-singleton,Alex Singleton,LB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-buckley,Andrew Buckley,QB,,,,,,,,,10.0,10.0,,26.0,,,1.0,106.0,-4.0,1.0,1.0,,-4.0,-4.0,,,,,,,3.0,9.0,,10.0,,,,,,,,,,,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,26.0,,,,,6.0,1.0,1.0,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,15.0,,,,,,,2.0,11.0,,19.0,,,1.0,,6.0,,1.0,,,,,,
ben-daguilar,Ben D\'Aguilar,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,,17.0,11.0,,60.0,,,1.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,,4.0,1.0,3.0,,4.0,4.0,24.0,4.0,,,,71.0,1.0,4.0,,4.0,,,,,,,,,,,,,
brian-tyms,Brian Tyms,WR,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cj-gable,C.J. Gable,RB,,,,,,,,,,,,,,,,,14.0,2.0,2.0,,12.0,18.0,,,,,,,10.0,14.0,,69.0,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DL/DB,,,1.0,2.0,,2.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connor-mcgough,Connor McGough,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtney-stephen,Courtney Stephen,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,,17.0,5.0,7.0,,19.0,60.0,,,,,,,,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DB/DT,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-ellis,Dominique Ellis,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jalen-saunders,Jalen Saunders,WR,,,,,,,,,,,,,,,,,14.0,4.0,6.0,,8.0,29.0,24.0,5.0,,,,111.0,,,,,,,,,,,,,,,,,
jamar-wall,Jamar Wall,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jameer-thurman,Jameer Thurman,LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-vaughters,James Vaughters,DL/DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jay-langa,Jay Langa,LB/DB,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,,15.0,7.0,1.0,21.0,,,,77.0,,,,,,,,,,,,,3.0,18.0,,43.0,,,,,,,,,,,,,
jerome-messam,Jerome Messam,RB,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,3.0,3.0,,,,,,,11.0,28.0,3.0,91.0,,,,,18.0,3.0,3.0,,,,,,
joe-burnett,Joe Burnett,LB/DB,1.0,5.0,,2.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-capicciotti,Justin Capicciotti,DE/DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-rogers,Justin Rogers,LB/DB/DT,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kamar-jorden,Kamar Jorden,WR,,,,,,,,,,,,,,,,,6.0,1.0,1.0,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
kavell-conner,Kavell Conner,LB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-elliott,Kevin Elliott,WR,,,,,,,,,,,,,,,,,21.0,2.0,3.0,,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,
khalid-wooten,Khalid Wooten,LB/DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,,,,9.0,3.0,5.0,,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
luke-tasker,Luke Tasker,WR,,,,1.0,,1.0,,,,,,,,,,,21.0,9.0,14.0,,22.0,82.0,,,,,,,,,,,,,,,,,,,,,,,
maleki-harris,Maleki Harris,LB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marken-michel,Marken Michel,WR,,,,,,,,,,,,,,,,,60.0,6.0,9.0,1.0,63.0,190.0,,,,,,,1.0,7.0,,7.0,,,1.0,,6.0,,1.0,,,,,,
mercer-timmis,Mercer Timmis,RB,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
micah-johnson,Micah Johnson,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-atkinson,Michael Atkinson,DB/DT,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-jones,Mike Jones,WR/RB,,,,,,,,,,,,,,,,,5.0,2.0,4.0,,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
