player_id,player_name,positions,extra_point,field_goal_yards,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
adrian-greene,Adrian Greene,DB,,,1.0,,,,,,,,,0.0,1.0
alexander-hollins,Alexander HOLLINS,WR,,,,,,,0.0,53.0,3.0,,,,
bc-dst,BC DST,DST,,,,,,34.0,,,,,,3.0,
bc-k,BC K,K,2.0,155.0,,,,,,,,,,,
bc-qb,BC QB,QB,,,,1.0,352.0,,,,,,21.0,,
ben-hladik,Ben Hladik,LB,,,0.0,,,,,,,,,0.0,4.0
david-menard,David Menard,DL,,,0.0,,,,,,,,,0.0,1.0
dominique-davis,Dominique Davis,QB,,,,,,,,,,1.0,4.0,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,0.0,107.0,5.0,,,,
emmanuel-rugamba,Emmanuel Rugamba,DB,,,0.0,,,,,,,,,0.0,3.0
francis-bemiy,Francis Bemiy,DL,,,0.0,,,,,,,,,0.0,1.0
garry-peters,Garry Peters,DB,,,0.0,,,,,,,,,0.0,4.0
jack-hinsperger,Jack Hinsperger,LB,,,0.0,,,,,,,,,0.0,0.0
jalon-edwards-cooper,Jalon Edwards-Cooper,DB,,,0.0,,,,,,,,,0.0,7.0
jevon-cottoy,Jevon COTTOY,WR,,,,,,,1.0,88.0,2.0,,,,
josh-banks,Josh Banks,DL,,,0.0,,,,,,,,,0.0,1.0
josh-woods,Josh Woods,LB,,,0.0,,,,,,,,,0.0,7.0
justin-mcinnis,Justin MCINNIS,WR,,,,,,,0.0,17.0,1.0,,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,0.0,31.0,3.0,,,,
lucky-whitehead,Lucky Whitehead,WR,,,,,,,0.0,10.0,2.0,,,,
marcus-sayles,Marcus Sayles,DB,,,0.0,,,,,,,,,0.0,2.0
mathieu-betts,Mathieu Betts,DE/DL,,,0.0,,,,,,,,,1.0,2.0
patrice-rene,Patrice Rene,DB,,,0.0,,,,,,,,,0.0,0.0
quincy-mauger,Quincy Mauger,DB,,,0.0,,,,,,,,,0.0,2.0
riley-pickett,Riley Pickett,DL/DT,,,0.0,,,,,,,,,0.0,0.0
ryder-varga,Ryder Varga,LB,,,0.0,,,,,,,,,0.0,2.0
sean-whyte,Sean WHYTE,K,2.0,155.0,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DE/DL,,,0.0,,,,,,,,,1.0,2.0
sione-teuhema,Sione Teuhema,DL/DT,,,0.0,,,,,,,,,1.0,2.0
tj-lee,T.J. Lee,DB,,,0.0,,,,,,,,,0.0,8.0
taquan-mizzell,Taquan Mizzell,RB,,,,,,,0.0,46.0,3.0,0.0,23.0,,
tibo-debaillie,Tibo Debaillie,DL,,,0.0,,,,,,,,,0.0,1.0
vernon-adams-jr,Vernon ADAMS JR.,QB,,,,1.0,352.0,,,,,,21.0,,
woody-baron,Woody Baron,DL,,,0.0,,,,,,,,,1.0,2.0
