player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aaron-lavarias,Aaron Lavarias,DE/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdul-kanneh,Abdul Kanneh,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alan-michael-cash,Alan-Michael Cash,DT/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-fera,Anthony Fera,K,,,,,,,,,,,,,,,,,,,,,,61.0,2.0,2.0,75.0,121.0,,,,,8.0,,2.0,2.0,52.0,7.0,1.0,1.0
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,,,26.0,2.0,3.0,,4.0,34.0,,,,,,1.0,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,,,,16.0,8.0,9.0,,23.0,63.0,,,,,,,,,,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,21.0,,,,,,,,,
chip-cox,Chip Cox,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-milo,Chris Milo,K,,,,,,,,,,,,,,,,,,,,,,42.0,3.0,3.0,17.0,116.0,,,,,13.0,,6.0,4.0,36.0,13.0,1.0,1.0
chris-williams,Chris Williams,WR,,,,,,,,,,,,,,,,14.0,10.0,13.0,,23.0,91.0,,,,,,,,,,,,,,,,,
connor-williams,Connor Williams,DE/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corbin-louks,Corbin Louks,WR,,,,,,,,,,,,,,,,6.0,2.0,5.0,,6.0,9.0,,,,,,,,,,,,,,,,,
damaso-munoz,Damaso Munoz,LB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,,,,41.0,5.0,8.0,1.0,28.0,109.0,,,,,,,,,1.0,6.0,1.0,,,,,,
ethan-davis,Ethan Davis,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ettore-lattanzio,Ettore Lattanzio,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrest-hightower,Forrest Hightower,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabriel-knapton,Gabriel Knapton,DE/DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,,,-3.0,1.0,3.0,,-3.0,-3.0,,,,,,,,,,,,,,,,,
greg-henderson,Greg Henderson,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jean-christophe-beaulieu,Jean-Christophe Beaulieu,RB/FB,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
jermaine-robinson,Jermaine Robinson,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-bowman,John Bowman,DE/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-boyett,John Boyett,DB/LB,1.0,11.0,,4.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-woods,Jonathan Woods,LB,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-mincy,Jonathon Mincy,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jovon-johnson,Jovon Johnson,DB,,,1.0,2.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-stafford,Kenny Stafford,WR,,,,,,,,,,,,,,,,36.0,1.0,3.0,,6.0,36.0,,,,,,,,,,,,,,,,,
kevin-glenn,Kevin Glenn,QB,,,,,,,,33.0,21.0,2.0,36.0,16.0,2.0,1.0,205.0,,,,,,,,,,,,2.0,7.0,12.0,,,,,,,,,
khalil-paden,Khalil Paden,WR,,,,,,,,,,,,,,,,,,2.0,,,,33.0,1.0,,,33.0,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landon-cohen,Landon Cohen,DB/DL,,,1.0,1.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
