player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_ir,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adarius-bowman,Adarius Bowman,SB/WR,,,,,,,,,,,,,,,,34.0,9.0,13.0,26.0,107.0,,,,,,,,,,,,,,,,,,,
alan-michael-cash,Alan-Michael Cash,DT/DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-fera,Anthony Fera,K,,,,,,,,,,,,,,,,,,,,,67.0,4.0,4.0,99.0,257.0,,,,,,12.0,,,5.0,4.0,44.0,12.0,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,,,42.0,5.0,8.0,14.0,98.0,,,,,,,,,,,,,,,,,,,
brandon-rutley,Brandon Rutley,RB,,,,,,,,,,,,,,,,15.0,6.0,6.0,52.0,55.0,,,,,,12.0,12.0,,43.0,,,,,,,,,,
chip-cox,Chip Cox,LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-getzlaf,Chris Getzlaf,WR,,,,1.0,,1.0,,,,,,,,,,9.0,2.0,4.0,7.0,13.0,,,,,,,,,,,,,,,,,,,
corbin-louks,Corbin Louks,WR,,,,,,,,,,,,,,,,5.0,1.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,
cordelius-parks,Cordelius Parks,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,,,,,,,11.0,3.0,4.0,20.0,24.0,,,,,,,,,,,,,,,,,,,
deon-lacey,Deon Lacey,LB,1.0,19.0,,9.0,1.0,9.0,19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
derel-walker,Derel Walker,WR,,,,,,,,,,,,,,,,31.0,10.0,14.0,67.0,132.0,,,,,,,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,,,,,,,,,,,,,,,11.0,3.0,10.0,7.0,28.0,,,,,,,,,,,,,,,,,,,
ethan-davis,Ethan Davis,DB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabriel-knapton,Gabriel Knapton,DB/DE,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grant-shaw,Grant Shaw,P/K,,,,,,,,,,,,,,,,,,,,,72.0,4.0,4.0,86.0,236.0,,,,,,,,,,,,,,
greg-henderson,Greg Henderson,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-morris,Greg Morris,RB,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,,23.0,,,,,,,,,,,,,,
jc-sherritt,J.C. Sherritt,LB,1.0,79.0,,3.0,,3.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jabari-hunt,Jabari Hunt,DB/DE,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jean-christophe-beaulieu,Jean-Christophe Beaulieu,RB/FB,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
john-bowman,John Bowman,DB/DE,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-white,John White,RB,,,,,,,,,,,,,,,,19.0,4.0,7.0,17.0,17.0,,,,,,13.0,18.0,,66.0,,,,,,,,,,
jonathan-woods,Jonathan Woods,LB,,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-mincy,Jonathon Mincy,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jovon-johnson,Jovon Johnson,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-ladler,Kenny Ladler,DB/LB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenzel-doe,Kenzel Doe,WR,,,,,,,,,,,,,,,,,,,,,40.0,3.0,,,76.0,,,,,,,,,,,,,,
kevin-glenn,Kevin Glenn,QB,,,,,,,,,39.0,22.0,2.0,42.0,5.0,1.0,271.0,,,,,,,,,,,2.0,16.0,,19.0,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marc-olivier-brouillette,Marc-Olivier Brouillette,S/DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcell-young,Marcell Young,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-klassen,Michael Klassen,DB/DL,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,,,,,45.0,29.0,,34.0,,,300.0,,,,,,,,,,,8.0,12.0,1.0,34.0,,6.0,1.0,1.0,,,,,,
nate-coehoorn,Nate Coehoorn,WR,,,,,,,,,,,,,,,,7.0,1.0,3.0,1.0,7.0,,,,,,,,,,,,,,,,,,,
neil-king,Neil King,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolas-lewis,Nikolas Lewis,WR,,,,,,,,,,,,,,,,14.0,3.0,7.0,12.0,37.0,,,,,,,,,,,,,,,,,,,
odell-willis,Odell Willis,DB/DE,,,1.0,2.0,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pat-watkins,Pat Watkins,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raymon-taylor,Raymon Taylor,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sam-giguere,Sam Giguere,WR,,,,,,,,,,,,,,,,19.0,4.0,5.0,31.0,48.0,,,,,,1.0,6.0,,6.0,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,2.0,2.0,24.0,7.0,2.0,1.0
solomon-means,Solomon Means,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-logan,Stefan Logan,RB,,,,,,,,,,,,,,,,,,,,,36.0,3.0,,,77.0,,,,,,,,,,,,,,
tyler-thornton,Tyler Thornton,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaughn-martin,Vaughn Martin,DT/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,9.0,1.0,,,9.0,,,,,,,,,,,,,,
winston-venable,Winston Venable,LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
