player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,misc_td,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
antoine-pruneau,Antoine Pruneau,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DL/DB/DE,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,21.0,7.0,8.0,,34.0,78.0,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,3.0,1.0,3.0,,,3.0,55.0,3.0,,,109.0,1.0,,1.0,1.0,,,6.0,1.0,1.0,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,14.0,1.0,1.0,,14.0,14.0,,,,,,1.0,8.0,,8.0,,,,,,,,,,,
brett-maher,Brett Maher,K,,,,,,,,,,,,,,,,,,,68.0,6.0,6.0,148.0,346.0,,,,,,,19.0,,,6.0,6.0,52.0,19.0,3.0,1.0
cj-gable,C.J. Gable,RB,,,,,,,,,,,,,6.0,1.0,2.0,,6.0,6.0,,,,,,7.0,15.0,,48.0,,,,,,,,,,,
co-prime,C.O. Prime,RB,,,,,,,,,,,,,,,,,,,14.0,1.0,,,14.0,,,,,,,,,,,,,,,
corey-tindal,Corey Tindal,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtney-stephen,Courtney Stephen,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
damarr-aultman,Damarr Aultman,WR,,,,,,,,,,,,,5.0,1.0,3.0,,-2.0,5.0,14.0,2.0,,,25.0,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DT/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demond-washington,Demond Washington,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,,,,,,,,,,12.0,6.0,7.0,,18.0,51.0,26.0,1.0,,,26.0,,,,,,,,,,,,,,,
