player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
abdul-kanneh,Abdul Kanneh,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adrian-tracy,Adrian Tracy,DB/DL,,,1.0,2.0,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander-green,Alexander Green,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0,,47.0,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DB/DE/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,,13.0,15.0,2.0,37.0,193.0,20.0,1.0,,,20.0,,,,,,2.0,12.0,,2.0,,,,,,
brett-maher,Brett Maher,K,,,,,,,,1.0,,,,,,,,,,,,,,69.0,7.0,7.0,122.0,454.0,,,,,,,7.0,,,2.0,2.0,53.0,7.0,1.0,1.0
cariel-brooks,Cariel Brooks,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corey-tindal,Corey Tindal,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtney-stephen,Courtney Stephen,DB,1.0,18.0,,3.0,3.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dante-blackmon,Dante Blackmon,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,,,,,,,,,,,,,60.0,9.0,11.0,,49.0,133.0,40.0,6.0,,,165.0,,,,,,,,,,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,1.0,1.0,,,,,,,,,,,11.0,1.0,4.0,,,11.0,,,,,,,,,,,,,,,,,,,,
don-unamba,Don Unamba,LB,1.0,6.0,,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-tate,Drew Tate,QB,,,,,,,,1.0,1.0,,,,,1.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ettore-lattanzio,Ettore Lattanzio,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,1.0,1.0,,,,,,,,,,,15.0,6.0,9.0,1.0,9.0,65.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
jake-ceresna,Jake Ceresna,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-harty,Jake Harty,WR,,,,,,,,,,,,,,,,9.0,1.0,3.0,,3.0,9.0,,,,,,,,,,,,,,,,,,,,
jalen-saunders,Jalen Saunders,WR,,,,,,,,,,,,,,,,36.0,6.0,10.0,1.0,11.0,96.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
jasper-collins,Jasper Collins,WR,,,,,,,,,,,,,,,,,,,,,,21.0,5.0,,,83.0,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,46.0,32.0,,,10.0,1.0,4.0,438.0,,,,,,,,,,,,3.0,5.0,,7.0,,,,,,,,,,,
jonathan-newsome,Jonathan Newsome,DB/DE/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juron-criner,Juron Criner,WR,,,,1.0,1.0,,,,,,,,,,,,6.0,7.0,2.0,50.0,90.0,,,,,,,,,,,2.0,12.0,,2.0,,,,,,
justin-capicciotti,Justin Capicciotti,DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-allen,Kenny Allen,P/K,,,,,,,,,,,,,,,,,,,,,,65.0,7.0,7.0,169.0,306.0,,,,,,,10.0,,,3.0,2.0,43.0,10.0,4.0,4.0
kevin-brown,Kevin BROWN,RB,,,1.0,1.0,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luke-tasker,Luke Tasker,WR,,,,,,,,,,,,,,,,26.0,12.0,14.0,1.0,57.0,139.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
mariel-cooper,Mariel Cooper,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,19.0,1.0,,,19.0,,,,,,,,,,,,,,,
mike-jones,Mike Jones,RB/WR,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
nicholas-taylor,Nicholas Taylor,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikita-whitlock,Nikita Whitlock,DT,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-lavoie,Patrick Lavoie,RB/FB,,,,,,,,,,,,,,,,19.0,3.0,5.0,,25.0,40.0,,,,,,,,,,,,,,,,,,,,
richard-leonard,Richard Leonard,DB,1.0,7.0,,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryan-lindley,Ryan Lindley,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
serderius-bryant,Serderius Bryant,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shamawd-chambers,Shamawd Chambers,WR,,,,,,,,,,,,,,,,10.0,1.0,5.0,,5.0,10.0,,,,,,,,,,,,,,,,,,,,
sherrod-baltimore,Sherrod Baltimore,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,1.0,5.0,5.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-reed,Taylor Reed,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ted-laurent,Ted Laurent,DT/DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,,,,38.0,26.0,3.0,60.0,14.0,2.0,2.0,313.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
william-powell,William Powell,RB,,,,,,,,,,,,,,,,4.0,1.0,1.0,,1.0,4.0,12.0,1.0,,,12.0,17.0,,2.0,133.0,2.0,,16.0,2.0,2.0,,,,,,
winston-rose,Winston Rose,DB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zack-evans,Zack Evans,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
