player_id,player_name,positions,def_int,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austen-hartley,Austen Hartley,WR,,,,,,,,,,,,6.0,2.0,3.0,,4.0,11.0,,,,,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DB/DE/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,14.0,4.0,8.0,,10.0,40.0,,,,,,,,,,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
corey-tindal,Corey Tindal,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,,,,,,,,,6.0,3.0,6.0,,4.0,11.0,21.0,2.0,,,40.0,,,,,,,,,,,,
dominique-davis,Dominique Davis,QB,,,,7.0,5.0,,12.0,,,1.0,41.0,,,,,,,,,,,,1.0,,,,,,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evan-johnson,Evan Johnson,OL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,56.0,6.0,14.0,1.0,9.0,97.0,,,,,,,,,1.0,6.0,1.0,,,,,,
jean-christophe-beaulieu,Jean-Christophe Beaulieu,FB/RB,,,,,,,,,,,,9.0,1.0,2.0,,4.0,9.0,,,,,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-johnson,Josh Johnson,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-brown,Kevin BROWN,LB/P/RB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lewis-ward,Lewis Ward,K,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,2.0,2.0,39.0,7.0,1.0,1.0
loucheiz-purifoy,Loucheiz Purifoy,DB,,3.0,3.0,,,,,,,,,,,,,,,21.0,1.0,,,21.0,,,,,,,,,,,,
michael-klassen,Michael Klassen,DB/DL,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-wakefield,Michael Wakefield,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigel-romick,Nigel Romick,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,,,,,,,,,,69.0,3.0,3.0,50.0,161.0,,,,,1.0,,,,,,,
rico-murray,Rico Murray,DB/LB,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teague-sherman,Teague Sherman,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,29.0,13.0,1.0,56.0,21.0,3.0,,135.0,,,,,,,,,,,,,,,,,,,,,,,
william-powell,William Powell,RB,,,,,,,,,,,,6.0,2.0,2.0,,5.0,8.0,,,,,,13.0,27.0,123.0,,,,,,,,,
