player_id,player_name,positions,1pt_conversion,fumble_recoveries,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
bryce-perkins,Bryce Perkins,QB,2.0,,1.0,,,1.0,121.0,,,,,2.0,76.0,
cole-hikutini,Cole Hikutini,TE,2.0,,,,,,,,0.0,0.0,0.0,,,
danny-etling,Danny Etling,QB,,,1.0,,,0.0,110.0,,,,,0.0,10.0,
devin-gray,Devin Gray,WR,,,,,,,,,0.0,13.0,2.0,,,
devin-ross,Devin Ross,WR,,,,,,,,,0.0,54.0,4.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,0.0,0.0,0.0,,,
jake-bates,Jake Bates,PK/K,,,,,1.0,,,,,,,,,
matt-colburn-ii,Matt Colburn II,WR/RB,,,,,,,,,0.0,16.0,3.0,0.0,14.0,
nate-mccrary,Nate McCrary,RB,,,,,,,,,0.0,12.0,1.0,1.0,21.0,
panthers-dst,Panthers DST,DST,,1.0,,0.0,,,,22.0,,,,,,4.0
panthers-k,Panthers K,K,,,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,2.0,,2.0,,,1.0,231.0,,,,,2.0,86.0,
samson-nacua,Samson Nacua,WR,,,,,,,,,0.0,13.0,1.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,0.0,95.0,8.0,,,
terry-wright,Terry Wright,WR,,,,,,,,,0.0,11.0,1.0,,,
trey-quinn,Trey Quinn,WR,,,,,,,,,1.0,17.0,4.0,,,
