player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
akwasi-owusu-ansah,Akwasi Owusu-Ansah,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-coombs,Anthony Coombs,WR,,,,,,,,,,,,12.0,3.0,5.0,,15.0,27.0,,,,,,2.0,9.0,17.0,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,9.0,2.0,3.0,,3.0,16.0,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,14.0,3.0,7.0,,3.0,30.0,,,,,,2.0,10.0,14.0,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,95.0,4.0,3.0,73.0,309.0,,,,,9.0,,3.0,2.0,21.0,8.0,2.0,2.0
brandon-harris,Brandon Harris,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-stewart,Brandon Stewart,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-whitaker,Brandon Whitaker,RB,,,,,,,,,,,,10.0,4.0,4.0,,20.0,24.0,,,,,,13.0,30.0,96.0,,,,,,,,,
chip-cox,Chip Cox,LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,16.0,10.0,13.0,,,,75.0,,,,,,,,,,,,9.0,13.0,60.0,,,,,,,,,
darian-durant,Darian Durant,QB,,,,,27.0,18.0,,10.0,2.0,2.0,237.0,,,,,,,,,,,,,,,,,,,,,,,
declan-cross,Declan Cross,FB/RB,,,,,,,,,,,,13.0,3.0,3.0,,21.0,23.0,,,,,,,,,,,,,,,,,
dominique-tovell,Dominique Tovell,LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-oramasionwu,Don Oramasionwu,DB/DT,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dondre-wright,Dondre Wright,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dylan-wynn,Dylan WYNN,DB/DL/DT,1.0,7.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,4.0,5.0,1.0,11.0,74.0,,,,,,1.0,8.0,8.0,1.0,6.0,1.0,,,,,,
gabriel-knapton,Gabriel Knapton,DB/DE,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
george-johnson,George Johnson,WR,,,,,,,,,,,,,1.0,1.0,1.0,8.0,16.0,,,,,,,,,1.0,6.0,1.0,,,,,,
jalen-rogers,Jalen Rogers,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeff-fuller,Jeff Fuller,WR,,,,,,,,,,,,11.0,1.0,1.0,,5.0,11.0,,,,,,,,,,,,,,,,,
jeff-mathews,Jeff Mathews,QB,,1.0,1.0,,12.0,8.0,12.0,19.0,2.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,
jeffrey-finley,Jeffrey Finley,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jesse-joseph,Jesse Joseph,DB/DL,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-bowman,John Bowman,DB/DE,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-woods,Jonathan Woods,LB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-mincy,Jonathon Mincy,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keith-shologan,Keith Shologan,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khalil-paden,Khalil Paden,WR,,,,,,,,,,,,9.0,1.0,4.0,,,9.0,,,,,,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,70.0,1.0,1.0,27.0,70.0,,,,,9.0,,3.0,3.0,47.0,9.0,,
llevi-noel,Llevi Noel,WR,,,,,,,,,,,,,,,,,,19.0,1.0,,,19.0,,,,,,,,,,,,
marcus-alford,Marcus Alford,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-ball,Marcus Ball,LB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martese-jackson,Martese Jackson,RB,,,,,,,,,,,,,,,,,,33.0,2.0,,,54.0,,,,,,,,,,,,
matt-black,Matt Black,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolas-lewis,Nikolas Lewis,WR,,,,,,,,,,,,15.0,3.0,4.0,,17.0,31.0,,,,,,,,,,,,,,,,,
rico-murray,Rico Murray,DB/LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robert-woodson,Robert Woodson,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sj-green,S.J. Green,WR,,,,,,,,,,,,9.0,4.0,7.0,,7.0,32.0,,,,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DB/DE/DL,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
