player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
abdul-kanneh,Abdul Kanneh,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam Bighill,LB,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-allen,Anthony Allen,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,27.0,,82.0,1.0,,,2.0,,,,,,,,
anthony-gaitor,Anthony Gaitor,DB,1.0,,1.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
anthony-thompson,Anthony Thompson,DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aston-whiteside,Aston Whiteside,DB/DL,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,,,,24.0,8.0,9.0,1.0,23.0,73.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
brandon-stewart,Brandon Stewart,DB,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brock-jensen,Brock Jensen,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,4.0,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,,,,18.0,2.0,3.0,,15.0,28.0,,,,,,,,,,,,,,,,,,,,,
chandler-fenner,Chandler Fenner,DB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-milo,Chris Milo,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,4.0,4.0,43.0,15.0,3.0,3.0
chris-rainey,Chris Rainey,RB,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,34.0,26.0,5.0,,,106.0,1.0,5.0,,5.0,,,1.0,6.0,,1.0,,,,,,
chris-williams,Chris Williams,WR,,,,,,,,,,,,,,,,,5.0,8.0,1.0,101.0,155.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
craig-roh,Craig Roh,DB/DL,,1.0,2.0,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damaso-munoz,Damaso Munoz,LB,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emmanuel-arceneaux,Emmanuel Arceneaux,SB/WR,,,,,,,,,,,,,,,,49.0,4.0,5.0,1.0,13.0,64.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,,,,47.0,6.0,8.0,,77.0,122.0,,,,,,,,,,,,,,,,,,,,,
ettore-lattanzio,Ettore Lattanzio,DB,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrest-hightower,Forrest Hightower,DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,,,30.0,4.0,6.0,,7.0,56.0,,,,,,,,,,,,,,,,,,,,,
jabar-westerman,Jabar Westerman,DB/DL,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-harty,Jake Harty,WR,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
jamill-smith,Jamill Smith,WR,,,,,,,,,,,,,,,,11.0,1.0,1.0,,11.0,11.0,32.0,5.0,,,84.0,,,,,,,,,,,,,,,,
jason-arakgi,Jason Arakgi,DB/LB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerrell-gavins,Jerrell Gavins,DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
