player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adrian-james,Adrian James,DB/LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-sarao,Anthony Sarao,LB,,,1.0,5.0,5.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,1.0,24.0,,4.0,4.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arnaud-gascon-nadon,Arnaud Gascon-Nadon,DE/DB,,,1.0,2.0,2.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,,,56.0,4.0,5.0,,18.0,89.0,,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,66.0,1.0,1.0,16.0,66.0,,,,,,4.0,,2.0,1.0,53.0,3.0,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,,,,14.0,7.0,10.0,,26.0,82.0,,,,,,,,,,,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,,,4.0,1.0,1.0,,4.0,4.0,,,,,,1.0,4.0,4.0,,,,,,,,,,
brett-maher,Brett Maher,K,,,,,,,,,,,,,,,,,,,,,,63.0,5.0,5.0,98.0,305.0,,,,,,10.0,,4.0,2.0,30.0,7.0,1.0,1.0
chip-cox,Chip Cox,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corey-tindal,Corey Tindal,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darian-durant,Darian Durant,QB,,,,,,,,21.0,12.0,1.0,56.0,7.0,1.0,,140.0,,,,,,,,,,,,1.0,19.0,19.0,,,,,,,,,,
davon-walls,Davon Walls,DB/DT,,,1.0,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,1.0,1.0,,,,,,,,,,,9.0,4.0,5.0,1.0,11.0,22.0,16.0,1.0,,,16.0,1.0,28.0,28.0,,1.0,6.0,1.0,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,,,,,7.0,1.0,1.0,,2.0,7.0,,,,,,,,,,,,,,,,,,
dondre-wright,Dondre Wright,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-willy,Drew Willy,QB,,,,,,,,11.0,8.0,,24.0,35.0,4.0,,98.0,,,,,,,,,,,,2.0,12.0,14.0,,,,,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,,,,11.0,2.0,5.0,,,19.0,,,,,,,,,,,,,,,,,,
gabriel-knapton,Gabriel Knapton,DE/DB,,,1.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
george-johnson,George Johnson,WR,,,,,,,,,,,,,,,,5.0,2.0,2.0,,,6.0,,,,,,,,,,,,,,,,,,
