player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,1.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam Bighill,LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,21.0,3.0,4.0,,22.0,31.0,,,,,,20.0,23.0,132.0,,,,,,,,,,
andrew-marshall,Andrew Marshall,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-cioffi,Anthony Cioffi,LB/DB/SAF,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-gaitor,Anthony Gaitor,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,19.0,10.0,14.0,,16.0,88.0,,,,,,,,,1.0,,2.0,,,,,,,
brandin-bryant,Brandin Bryant,LB/DB/DL,1.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-alexander,Brandon Alexander,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chandler-fenner,Chandler Fenner,DB,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-randle,Chris Randle,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-streveler,Chris STREVELER,QB,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,11.0,18.0,,,,,,,,,,
corey-tindal,Corey Tindal,DB,1.0,9.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
craig-roh,Craig Roh,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danny-mason,Danny Mason,DB/DL,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darvin-adams,Darvin Adams,WR,,,,,,,,,,,,,9.0,11.0,1.0,10.0,72.0,,,,,,,,,1.0,1.0,8.0,1.0,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,,,,,,,,,21.0,6.0,8.0,,49.0,54.0,47.0,4.0,,,99.0,,,,,,,,,,,,,
dominique-davis,Dominique Davis,QB,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,
drake-nevis,Drake Nevis,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,1.0,1.0,,,,,,,,,18.0,2.0,4.0,,3.0,31.0,,,,,,,,,,,,,,,,,,
gerald-rivers,Gerald Rivers,DE/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,14.0,8.0,10.0,1.0,7.0,69.0,,,,,,,,,1.0,1.0,8.0,1.0,,,,,,
jr-tavai,J.R. Tavai,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-thomas,Jake Thomas,DT/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jean-christophe-beaulieu,Jean-Christophe Beaulieu,FB/RB,,,,,,,,,,,,15.0,1.0,1.0,,15.0,15.0,,,,,,,,,,,,,,,,,,
jean-philippe-bolduc,Jean-Philippe Bolduc,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeff-hecht,Jeff Hecht,DB,1.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jovan-santos-knox,Jovan Santos-Knox,LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-feoli-gudino,Julian Feoli-Gudino,WR,,,,,,,,,,,,,4.0,4.0,1.0,22.0,83.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
justin-medlock,Justin Medlock,K,,,,,,,,,,,,,,,,,,69.0,4.0,4.0,99.0,256.0,,,,,,20.0,,6.0,6.0,44.0,20.0,2.0,2.0
kenbrell-thompkins,Kenbrell Thompkins,WR,,,,,,,,,,,,12.0,3.0,3.0,,6.0,25.0,,,,,,,,,,,,,,,,,,
kevin-brown,Kevin BROWN,RB,1.0,2.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-fogg,Kevin Fogg,DB,,4.0,4.0,,,,,,,,,,,,,,,22.0,4.0,,,56.0,,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lewis-ward,Lewis Ward,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,3.0,3.0,42.0,10.0,1.0,1.0
marcus-sayles,Marcus Sayles,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matt-nichols,Matt Nichols,QB,,,,,36.0,27.0,21.0,20.0,3.0,3.0,265.0,,,,,,,,,,,,2.0,6.0,7.0,,,,,,,,,,
michael-klassen,Michael Klassen,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-wakefield,Michael Wakefield,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,,12.0,5.0,6.0,,11.0,45.0,14.0,1.0,,,14.0,5.0,18.0,34.0,,,,,,,,,,
rj-harris,R.J. Harris,WR,,,,,,,,,,,,11.0,2.0,4.0,,,14.0,,,,,,,,,,,,,,,,,,
randall-evans,Randall Evans,DB,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rashaun-simonise,Rashaun Simonise,WR,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,,,,,,,,,,68.0,4.0,3.0,21.0,246.0,1.0,4.0,4.0,,,,,,,,,,
rico-murray,Rico Murray,LB/DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-loffler,Taylor Loffler,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thomas-miles,Thomas Miles,LB,,,,,,,,,,,,,,,,,,7.0,1.0,,,7.0,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,45.0,33.0,,18.0,4.0,3.0,349.0,,,,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,
tristan-okpalaugo,Tristan Okpalaugo,DE/DB,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weston-dressler,Weston Dressler,WR,,,,,,,,,,,,16.0,5.0,9.0,2.0,22.0,61.0,,,,,,,,,,2.0,12.0,2.0,,,,,,
william-powell,William Powell,RB,,1.0,1.0,,,,,,,,,18.0,2.0,3.0,1.0,23.0,26.0,,,,,,14.0,48.0,95.0,,1.0,6.0,1.0,,,,,,
