player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adam-thibault,Adam Thibault,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-singleton,Alex Singleton,LB,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-buckley,Andrew Buckley,QB,,,,,7.0,5.0,14.0,,,,43.0,,,,,,,,,,,,,4.0,2.0,,5.0,,,,,,,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,,1.0,1.0,1.0,,18.0,,,,,,,2.0,19.0,,34.0,,1.0,,6.0,,1.0,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,12.0,3.0,4.0,,8.0,31.0,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,19.0,14.0,49.0,1.0,1.0,2.0,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,83.0,2.0,2.0,34.0,1.0,160.0,,,,,,,,5.0,,,1.0,1.0,28.0,4.0,1.0,1.0
brandon-smith,Brandon Smith,DB/LB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-stewart,Brandon Stewart,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chip-cox,Chip Cox,LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DL/DB,1.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-termansen,Dominique Termansen,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dondre-wright,Dondre Wright,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-willy,Drew Willy,QB,,,,,19.0,13.0,27.0,13.0,2.0,1.0,137.0,,,,,,,,,,,,,4.0,6.0,,12.0,,,,,,,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,27.0,6.0,8.0,,30.0,73.0,,,,,,,,,,,,,,,,,,,,,,
gabriel-knapton,Gabriel Knapton,DE/DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-henderson,Greg Henderson,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivan-mclennan,Ivan McLennan,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,1.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jabar-westerman,Jabar Westerman,DL/DB,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jameer-thurman,Jameer Thurman,DB/LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-vaughters,James Vaughters,DL/DB,1.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-bowman,John Bowman,DE/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-mincy,Jonathon Mincy,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julan-lynch,Julan Lynch,WR,,,,,,,,,,,,10.0,1.0,1.0,,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,
kristian-matte,Kristian Matte,G,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lawrence-okoye,Lawrence Okoye,DT/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marken-michel,Marken Michel,WR,,,,,,,,,,,,43.0,7.0,8.0,,36.0,114.0,,,,,,,,,,,,,,,,,,,,,,
marquay-mcdaniel,Marquay McDaniel,WR,,,,,,,,,,,,49.0,4.0,7.0,,18.0,104.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,
matthew-shiltz,Matthew Shiltz,QB,,,,,10.0,8.0,15.0,6.0,1.0,,75.0,,,,,,,,,,,,,2.0,15.0,,22.0,,,,,,,,,,,,
micah-johnson,Micah Johnson,DL/DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-klassen,Michael Klassen,DL/DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicolas-boulay,Nicolas Boulay,LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oumar-toure,Oumar Touré,RB/FB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-levels,Patrick Levels,DB/LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,18.0,4.0,6.0,,13.0,36.0,,,,,,,,,,,,,,,,,,,,,,
reggie-northrup,Reggie Northrup,DB/LB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,75.0,9.0,8.0,159.0,,612.0,,,,,,,,21.0,,,5.0,5.0,45.0,20.0,5.0,5.0
riley-jones,Riley Jones,LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rob-cote,Rob Cote,RB,,,,,,,,,,,,,1.0,1.0,1.0,11.0,12.0,,,,,,,7.0,9.0,,21.0,,1.0,,6.0,,1.0,,,,,,
rob-maver,Rob Maver,P/K,,,,,,,,,,,,,,,,,,46.0,2.0,1.0,7.0,,84.0,,,,,,,,,,,,,,,,
roy-finch,Roy Finch,RB,,,,,,,,,,,,,,,,,,34.0,2.0,,,,34.0,,,,,,,,,,,,,,,,
sam-giguere,Sam Giguere,WR,,,,,,,,,,,,15.0,2.0,3.0,,9.0,17.0,,,,,,,2.0,2.0,,3.0,,,,,,,,,,,,
shaquille-richardson,Shaquille Richardson,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-logan,Stefan Logan,RB,,,,,,,,,,,,,,,,,,29.0,8.0,,,,159.0,,,,,,,,,,,,,,,,
tj-graham,TJ Graham,WR,,,,,,,,,,,,13.0,2.0,5.0,,1.0,23.0,,,,,,,1.0,8.0,,8.0,,,,,,,,,,,,
terry-williams,Terry Williams,RB/WR,,,,,,,,,,,,14.0,1.0,2.0,,11.0,14.0,,,,,,,16.0,,3.0,156.0,,,,18.0,3.0,3.0,,,,,,
tevaughn-campbell,Tevaughn Campbell,CB/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiquan-underwood,Tiquan Underwood,WR,,,,,,,,,,,,10.0,4.0,5.0,,-2.0,33.0,,,,,,,,,,,,,,,,,,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,,,,,,,,,,,,,,,51.0,2.0,,,1.0,68.0,,,,,,,1.0,6.0,,1.0,,,,,,
tyrell-sutton,Tyrell Sutton,RB,,,,,,,,,,,,,4.0,4.0,1.0,33.0,35.0,,,,,,,11.0,9.0,,37.0,,1.0,,6.0,,1.0,,,,,,
