player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
anthony-orange,Anthony Orange,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-sarao,Anthony Sarao,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,,,17.0,4.0,6.0,,19.0,41.0,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,75.0,2.0,2.0,42.0,145.0,,,,,4.0,,1.0,1.0,30.0,4.0,1.0,1.0
boseko-lokombo,Boseko Lokombo,LB,,,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,,,,12.0,6.0,8.0,,7.0,38.0,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-rainey,Chris Rainey,RB,,,,,,,,,,,,,,,,11.0,2.0,3.0,,7.0,18.0,22.0,2.0,,,42.0,1.0,16.0,16.0,,,,,,,,,
chris-williams,Chris Williams,WR,,,,,,,,,,,,,,,,56.0,6.0,9.0,,24.0,98.0,,,,,,,,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,19.0,,,,,,1.0,-8.0,-8.0,1.0,6.0,1.0,,,,,,
