player_id,player_name,positions,extra_point,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adrian-hardy,Adrian Hardy,WR,,,,,,,,,0.0,46.0,3.0,,,
alex-mcgough,Alex McGough,QB,,,1.0,,0.0,1.0,183.0,,,,,1.0,30.0,
birmingham-dst,Birmingham DST,DST,,0.0,,1.0,,,,18.0,,,,,,4.0
birmingham-k,Birmingham K,K,3.0,,,,,,,,,,,,,
birmingham-qb,Birmingham QB,QB,,,2.0,,,1.0,255.0,,,,,1.0,30.0,
bo-scarbrough,Bo Scarbrough,RB,,,,,,,,,0.0,10.0,1.0,0.0,38.0,
brandon-aubrey,Brandon Aubrey,K/PK,3.0,,,,,,,,,,,,,
cj-marable,CJ Marable,RB,,,,,,,,,0.0,39.0,4.0,1.0,47.0,
jmar-smith,J\'Mar Smith,QB,,,1.0,,0.0,0.0,72.0,,,,,0.0,0.0,
jordan-mccray,Jordan McCray,DB/OC/WR/C,,,,,0.0,,,,,,,0.0,0.0,
marlon-williams,Marlon Williams,WR,,,,,,,,,1.0,30.0,3.0,,,
osirus-mitchell,Osirus Mitchell,WR,,,,,,,,,0.0,20.0,1.0,,,
peyton-ramzy,Peyton Ramzy,WR,,,,,,,,,0.0,32.0,1.0,,,
sage-surratt,Sage Surratt,TE,,,,,,,,,0.0,60.0,3.0,,,
tony-brooks-james,Tony Brooks-James,RB,,,,,,,,,,,,0.0,13.0,
victor-bolden-jr,Victor Bolden Jr.,WR,,,,,,,,,0.0,18.0,1.0,,,
