player_id,player_name,positions,extra_point,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
dean-faithfull,Dean Faithfull,K,1.0,,,1.0,,,,,,,,,,
dillon-mitchell,Dillon MITCHELL,RB/WR,,,,,,,,0.0,20.0,3.0,,,,
edm-dst,EDM DST,DST,,,1.0,,,,12.0,,,,,,4.0,
edm-k,EDM K,K,1.0,,,1.0,,,,,,,,,,
edm-qb,EDM QB,QB,,1.0,,,,226.0,,,,,1.0,58.0,,
jake-ceresna,Jake Ceresna,DL/DB,,,,,,,,,,,,,,2.0
kevin-brown,Kevin BROWN,RB/LB/P/DB,,,,,,,,0.0,26.0,2.0,0.0,65.0,,
kyran-moore,Kyran Moore,WR,,,,,,,,0.0,47.0,5.0,,,,
maurice-ffrench,Maurice FFRENCH,WR,,,,,,,,0.0,30.0,1.0,,,,
shannon-brooks,Shannon Brooks,RB,,,,,,,,0.0,31.0,1.0,0.0,20.0,,
steven-dunbar-jr,Steven Dunbar Jr.,WR,,,,,,,,,49.0,3.0,,,,
taylor-cornelius,Taylor Cornelius,QB,,1.0,,,1.0,226.0,,,,,1.0,58.0,,
vincent-forbes-mombleau,Vincent Forbes-Mombleau,WR,,,,,,,,0.0,23.0,2.0,,,,
