player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_kr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron-grymes,Aaron Grymes,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-rutley,Brandon Rutley,RB,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,8.0,,15.0,,,,,,,,,,,,
brayden-lenius,Brayden Lenius,WR,,,,,,,,,,,,-1.0,1.0,1.0,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
bryan-bennett,Bryan Bennett,QB,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,,13.0,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,18.0,5.0,8.0,,12.0,49.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,
cameron-judge,Cameron Judge,LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charles-wright,Charles Wright,DB/DL/LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,DB/LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,1.0,1.0,,26.0,21.0,,,,1.0,169.0,,,,,,,,,,,,,7.0,13.0,,46.0,,,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,,,21.0,6.0,6.0,,38.0,53.0,,,,,,,,,,,,,,,,,,,,,,
crezdon-butler,Crezdon Butler,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danny-obrien,Danny O'Brien,QB,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DT/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derrick-moncrief,Derrick Moncrief,LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,,,,,,,,,,,2.0,1.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
earl-okine,Earl Okine,DB/DL/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed-gainey,Ed Gainey,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emmanuel-arceneaux,Emmanuel Arceneaux,WR/SB,,,,,,,,,,,,6.0,1.0,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
gabriel-ferraro,Gabriel Ferraro,K,,,,,,,,,,,,,,,,,,63.0,6.0,6.0,158.0,1.0,356.0,,,,,,,,10.0,,,2.0,2.0,48.0,10.0,4.0,4.0
garry-peters,Garry Peters,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isaiah-guzylak-messam,Isaiah Guzylak-Messam,DB/LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,10.0,1.0,2.0,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,
john-white,John White,RB,,,,,,,,,,,,,,,,,,,,,,,,9.0,14.0,,29.0,,,,,,,,,,,,
jon-ryan,Jon Ryan,P,,,,,,,,,,,,,,,,,,72.0,4.0,2.0,1.0,,223.0,,,,,,,,1.0,,,,,,,,
jordan-herdman,Jordan Herdman,LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-bartel,Josh Bartel,P/K,,,,,,,,,,,,,,,,,,48.0,9.0,9.0,92.0,,382.0,,,,,,,,,,,,,,,,
korey-toomer,Korey Toomer,DB/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyran-moore,Kyran Moore,WR,,,,,,,,,,,,,4.0,6.0,1.0,1.0,38.0,18.0,7.0,,,,65.0,,,,,,,1.0,6.0,,1.0,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
loucheiz-purifoy,Loucheiz Purifoy,DB,,1.0,1.0,,,,,,,,,,,,,,,87.0,4.0,,,1.0,152.0,,,,,,1.0,,6.0,,1.0,,,,,,
makana-henry,Makana Henry,DB/DL,1.0,2.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maleki-harris,Maleki Harris,LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-thigpen,Marcus Thigpen,RB,,,,,,,,,,,,13.0,2.0,2.0,,9.0,12.0,18.0,2.0,,,,27.0,5.0,9.0,,22.0,,,,,,,,,,,,
mike-edem,Mike Edem,DB/S,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,19.0,8.0,18.0,33.0,4.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naaman-roosevelt,Naaman Roosevelt,WR,,,,,,,,,,,,17.0,3.0,4.0,,3.0,37.0,,,,,,,,,,,,,,,,,,,,,,
nick-marshall,Nick Marshall,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
odell-willis,Odell Willis,DB/DE,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oluwaseun-idowu,Oluwaseun Idowu,LB,1.0,3.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryan-lankford,Ryan Lankford,WR,,,,,,,,,,,,,,,,,,89.0,6.0,,,1.0,158.0,,,,,,1.0,,12.0,,2.0,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,,,,,,,,,,,,,,,,65.0,4.0,4.0,152.0,1.0,249.0,,,,,,,,4.0,,,1.0,1.0,35.0,4.0,1.0,1.0
