player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot,stat_fga,stat_pts,stat_xpa,stat_xpm
aaron-berry,Aaron Berry,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron-lavarias,Aaron Lavarias,DB/DE,1.0,34.0,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alan-michael-cash,Alan-Michael Cash,DB/DT,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andre-durie,Andre Durie,SB/WR,,,,,,,,,,,,,,,,7.0,4.0,6.0,,14.0,13.0,,,,,,4.0,9.0,,27.0,,,,,,,,,
anthony-coombs,Anthony Coombs,WR,,,,1.0,1.0,,,,,,,,,,,15.0,4.0,5.0,1.0,32.0,37.0,,,,,,1.0,3.0,,3.0,,1.0,6.0,,1.0,,,,
anthony-orange,Anthony Orange,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,1.0,1.0,,,,,,,,,,,12.0,4.0,5.0,,15.0,36.0,,,,,,,,,,,,,,,,,,
billy-parker,Billy Parker,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,85.0,3.0,2.0,38.0,238.0,,,,,,,5.0,,,3.0,2.0,2.0,2.0
brandon-bridge,Brandon Bridge,QB,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
