player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron-grymes,Aaron Grymes,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-konar,Adam Konar,LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adarius-bowman,Adarius Bowman,WR/SB,,,,,,,,,,,,45.0,2.0,3.0,,4.0,56.0,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DB/DT,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonio-longino,Antonio Longino,LB/DL,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arjen-colquhoun,Arjen Colquhoun,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bakari-grant,Bakari Grant,WR,,,,,,,,,,,,28.0,3.0,6.0,,6.0,38.0,,,,,,,,,,,,,,,,,,,
brandon-bridge,Brandon Bridge,QB,,,,,18.0,12.0,28.0,9.0,1.0,1.0,162.0,,,,,,,,,,,,6.0,14.0,,25.0,,,,,,,,,,
brandon-zylstra,Brandon Zylstra,WR,,,,,,,,,,,,40.0,3.0,4.0,,21.0,72.0,,,,,,,,,,,,,,,,,,,
cj-gable,C.J. Gable,RB,,,,,,,,,,,,35.0,4.0,6.0,,47.0,55.0,,,,,,17.0,10.0,,70.0,,,,,,,,,,
caleb-holley,Caleb Holley,WR,,,,,,,,,,,,26.0,3.0,3.0,,7.0,45.0,,,,,,,,,,,,,,,,,,,
calvin-mccarty,Calvin McCarty,RB,,,,,,,,,,,,7.0,2.0,2.0,,8.0,8.0,,,,,,,,,,,,,,,,,,,
chad-owens,Chad Owens,WR,,,,,,,,,,,,20.0,3.0,6.0,,7.0,43.0,,,,,,1.0,10.0,,10.0,,,,,,,,,,
christion-jones,Christion Jones,RB,,,,,,,,,,,,,,,,,,16.0,3.0,,,27.0,,,,,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,,,3.0,2.0,2.0,,3.0,6.0,,,,,,,,,,,,,,,,,,,
daquan-bowers,Da\'Quan Bowers,DB/DL,1.0,2.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derel-walker,Derel Walker,WR,,,,,,,,,,,,15.0,3.0,5.0,,4.0,33.0,,,,,,,,,,,,,,,,,,,
derrick-moncrief,Derrick Moncrief,LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,4.0,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ed-gainey,Ed Gainey,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eddie-steele,Eddie Steele,DB/DL,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ese-mrabure-ajufo,Ese Mrabure-Ajufo,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrest-hightower,Forrest Hightower,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-morris,Greg Morris,RB,,,,,,,,,,,,,,,,,,18.0,3.0,,,43.0,,,,,,,,,,,,,,
henoc-muamba,Henoc Muamba,LB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hugh-oneill,Hugh O'Neill,K,,,,,,,,,,,,,,,,,,64.0,4.0,4.0,96.0,238.0,,,,,,1.0,,,,,,,,
jamill-smith,Jamill Smith,WR,,,,,,,,,,,,,,,,,,28.0,2.0,,,39.0,,,,,,,,,,,,,,
jeff-knox-jr,Jeff Knox Jr.,LB,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-chick,John Chick,DE/DB,1.0,4.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
johnny-adams,Johnny Adams,DB/CB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-bartel,Josh Bartel,K/P,,,,,,,,,,,,,,,,,,49.0,7.0,7.0,80.0,275.0,,,,,,,,,,,,,1.0,
jovon-johnson,Jovon Johnson,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kacy-rodgers,Kacy Rodgers,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-ladler,Kenny Ladler,DB/LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-glenn,Kevin Glenn,QB,,,,,10.0,5.0,19.0,10.0,1.0,,63.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,
kienan-lafrance,Kienan LaFrance,RB,,,,,,,,,,,,18.0,1.0,2.0,,18.0,18.0,,,,,,4.0,12.0,,25.0,,,,,,,,,,
korey-jones,Korey Jones,LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makana-henry,Makana Henry,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marc-olivier-brouillette,Marc-Olivier Brouillette,DB/S,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-thigpen,Marcus Thigpen,RB,,,,,,,,,,,,19.0,2.0,2.0,1.0,26.0,31.0,53.0,1.0,,,53.0,7.0,9.0,1.0,32.0,1.0,12.0,1.0,2.0,,,,,,
mike-edem,Mike Edem,DB/S,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,27.0,21.0,45.0,,,,294.0,,,,,,,,,,,,10.0,9.0,3.0,29.0,,18.0,3.0,3.0,,,,,,
neil-king,Neil King,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rob-bagg,Rob Bagg,WR,,,,,,,,,,,,13.0,5.0,8.0,,7.0,50.0,,,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,2.0,2.0,30.0,9.0,3.0,3.0
tobi-antigha,Tobi Antigha,DB/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler-crapigna,Tyler Crapigna,K,,,,,,,,,,,,,,,,,,75.0,3.0,2.0,39.0,192.0,,,,,,1.0,,,,,,1.0,1.0,1.0
vernon-adams,Vernon Adams,QB,,,,,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
vidal-hazelton,Vidal Hazelton,WR,,,,,,,,,,,,21.0,5.0,5.0,,35.0,64.0,,,,,,,,,,,,,,,,,,,
willie-jefferson,Willie Jefferson,DE/DB/DL,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
