player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
aj-merriman,AJ Merriman,P,9.0,12.0,,39.0,45.0,1.0,2.0,3.0,4.0,99.0,,49.0,7.0,360.0,498.0
aaron-barcio,Aaron Barcio,P,5.0,1.0,,38.0,32.0,,1.0,1.0,,,,37.0,4.0,231.0,125.0
aaron-coble,Aaron Coble,P,1.0,1.0,,27.0,31.0,,,1.0,1.0,,,33.0,3.0,61.0,296.0
aaron-hom,Aaron Hom,P,1.0,,,16.0,14.0,,1.0,2.0,3.0,,,15.0,,119.0,201.0
aaron-peterschmidt,Aaron Peterschmidt,P,9.0,3.0,,62.0,62.0,1.0,5.0,4.0,,8.0,,64.0,2.0,557.0,464.0
aaron-rosenthal,Aaron Rosenthal,P,1.0,,,12.0,10.0,1.0,3.0,,,,,12.0,,117.0,61.0
aaron-schwieterman,Aaron Schwieterman,P,1.0,,,7.0,8.0,1.0,,,,,,10.0,2.0,14.0,71.0
aaron-weaver,Aaron Weaver,P,,,,4.0,4.0,,,,,,,5.0,1.0,21.0,-1.0
abe-coffin,Abe Coffin,P,8.0,2.0,,77.0,80.0,1.0,4.0,9.0,3.0,5.0,,90.0,8.0,526.0,673.0
adam-mcnichols,Adam McNichols,P,4.0,1.0,,69.0,58.0,,3.0,8.0,1.0,,,66.0,7.0,682.0,342.0
adam-odonnell,Adam O\'Donnell,P,12.0,1.0,,216.0,273.0,,8.0,9.0,4.0,1.0,,287.0,12.0,4.0,2137.0
adam-turcotte,Adam Turcotte,P,4.0,4.0,,58.0,67.0,1.0,2.0,1.0,2.0,,,72.0,6.0,155.0,327.0
aidan-lopez-escarez,Aidan Lopez-Escarez,P,6.0,8.0,,101.0,108.0,1.0,2.0,7.0,2.0,7.0,,125.0,15.0,574.0,641.0
albert-yuan,Albert Yuan,P,,2.0,,17.0,14.0,1.0,2.0,4.0,,,,16.0,2.0,159.0,125.0
alec-wilson-holliday,Alec Wilson Holliday,P,14.0,6.0,,165.0,121.0,3.0,37.0,18.0,,,1.0,130.0,7.0,2874.0,321.0
alex-atkins,Alex Atkins,P,15.0,4.0,,256.0,266.0,1.0,18.0,18.0,10.0,6.0,,277.0,8.0,1564.0,1823.0
alex-davis,Alex Davis,P,3.0,5.0,,58.0,42.0,5.0,14.0,8.0,1.0,,,45.0,2.0,925.0,202.0
alex-donadio,Alex Donadio,P,2.0,1.0,,16.0,13.0,,1.0,2.0,,,,13.0,,167.0,110.0
alex-gravatt,Alex Gravatt,P,1.0,2.0,,10.0,4.0,,5.0,0.0,,,,5.0,1.0,130.0,11.0
alex-heath,Alex Heath,P,,1.0,,2.0,3.0,,,,,,,3.0,,12.0,-19.0
alex-kabat,Alex Kabat,P,,2.0,,2.0,2.0,1.0,,,,,,2.0,,16.0,-3.0
alex-mullen,Alex Mullen,P,1.0,1.0,,28.0,32.0,1.0,2.0,5.0,1.0,,,32.0,,84.0,269.0
alex-tatum,Alex Tatum,P,8.0,3.0,,85.0,76.0,1.0,11.0,4.0,4.0,,,82.0,4.0,892.0,458.0
alex-thomas-2,Alex Thomas,P,4.0,1.0,,22.0,22.0,,3.0,2.0,,,,22.0,,206.0,80.0
alex-thorne,Alex Thorne,P,11.0,1.0,,257.0,298.0,,5.0,11.0,11.0,,,311.0,11.0,916.0,1595.0
alexander-wilcox,Alexander Wilcox,P,7.0,3.0,,50.0,61.0,1.0,1.0,3.0,6.0,11.0,,70.0,7.0,77.0,509.0
alexandre-fall,Alexandre Fall,P,4.0,7.0,,42.0,26.0,2.0,16.0,3.0,,,,27.0,1.0,810.0,52.0
