player_id,player_name,positions,assists,games_played,goals,penalty_minutes,points
mike-manley,Mike Manley,P,,6.0,,8.0,
mike-messenger,Mike Messenger,P,6.0,10.0,3.0,10.0,9.0
mitch-de-snoo,Mitch de Snoo,P,5.0,11.0,1.0,25.0,6.0
nick-damude,Nick Damude,G,,12.0,,,
nick-rose,Nick Rose,G/K,,11.0,,,
nick-weiss,Nick Weiss,P,4.0,8.0,4.0,4.0,8.0
nonkon-thompson,Nonkon Thompson,P,1.0,10.0,,22.0,1.0
paul-dawson,Paul Dawson,LB/P,4.0,12.0,2.0,29.0,6.0
phil-caputo,Phil Caputo,P,11.0,10.0,14.0,8.0,25.0
randy-staats,Randy Staats,P,48.0,12.0,22.0,17.0,70.0
reece-callies,Reece Callies,P,5.0,9.0,2.0,8.0,7.0
reilly-oconnor,Reilly O'Connor,,16.0,11.0,19.0,12.0,35.0
riley-loewen,Riley Loewen,P,15.0,13.0,16.0,,31.0
rob-hellyer,Rob Hellyer,P,24.0,11.0,32.0,4.0,56.0
robert-church,Robert Church,P,24.0,10.0,17.0,2.0,41.0
robert-hope,Robert Hope,P,3.0,13.0,,22.0,3.0
ryan-benesch,Ryan Benesch,P,33.0,12.0,18.0,5.0,51.0
ryan-dilks,Ryan Dilks,P,4.0,10.0,1.0,,5.0
ryan-keenan,Ryan Keenan,P,17.0,10.0,18.0,2.0,35.0
ryan-leder,Ryan Leder,DL/P,35.0,13.0,25.0,4.0,60.0
ryan-martel,Ryan Martel,P,,1.0,1.0,6.0,1.0
ryan-wagner,Ryan Wagner,P,6.0,14.0,2.0,21.0,8.0
scott-dominey,Scott Dominey,P,1.0,9.0,6.0,2.0,7.0
shane-simpson,Shane Simpson,LB/P/RB,13.0,10.0,8.0,4.0,21.0
shayne-jackson,Shayne Jackson,P,42.0,12.0,31.0,8.0,73.0
steph-charbonneau,Steph Charbonneau,P,5.0,14.0,4.0,15.0,9.0
stephen-keogh,Stephen Keogh,,16.0,12.0,18.0,8.0,34.0
steve-fryer,Steve Fryer,P,1.0,9.0,,,1.0
steve-priolo,Steve Priolo,P,4.0,8.0,1.0,6.0,5.0
thomas-whitty,Thomas Whitty,P,4.0,12.0,1.0,12.0,5.0
tim-edwards,Tim Edwards,P,4.0,13.0,2.0,4.0,6.0
travis-longboat,Travis Longboat,P,20.0,9.0,7.0,4.0,27.0
trevor-baptiste,Trevor Baptiste,P,4.0,14.0,6.0,10.0,10.0
trevor-smyth,Trevor Smyth,P,1.0,12.0,1.0,10.0,2.0
tyler-carlson,Tyler Carlson,P,,13.0,,,
tyler-packer,Tyler Packer,OL/P,10.0,7.0,14.0,2.0,24.0
warren-hill,Warren Hill,G,,12.0,,,
warren-jeffrey,Warren Jeffrey,P,3.0,13.0,1.0,11.0,4.0
wesley-berg,Wesley Berg,P,39.0,12.0,19.0,4.0,58.0
will-malcom,Will Malcom,P,7.0,8.0,4.0,,11.0
zach-currier,Zach Currier,P,13.0,10.0,3.0,11.0,16.0
zach-higgins,Zach Higgins,G,,14.0,,,
zach-manns,Zach Manns,P,13.0,11.0,7.0,2.0,20.0
zach-miller,Zach Miller,P,11.0,8.0,6.0,,17.0
