player_id,player_name,positions,3pt_pass,4pt_fg,blocked_punt,conversion_return_td,conversions,dst_touchdown,extra_point,fg_made,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_td,passing_tds,passing_yards,points_against,punt_return,receiving_tds,receiving_yards,receptions,recv_td,rush_td,rushing_tds,rushing_yards,sacks,safety
abram-smith,Abram Smith,RB,,,,,,,,,,,,,,,,,,,,0.0,26.0,3.0,,,2.0,243.0,,
adrian-jefferson,Adrian Jefferson,RB,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
albert-curran-iv,Albert Curran IV,DB,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
alexander-kekua,Alexander Kekua,OL,,,,,,,,,,,,,,,8.0,,,,,,,,,2.0,,,,
alexis-rosario,Alexis Rosario,RB/WR,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
alize-mack,Alize Mack,TE,,,,,,,,,,,,,,,,,,,,1.0,146.0,12.0,,,1.0,,,
anders-carlson,Anders Carlson,K/PK,,,,,,,9.0,,234.0,,,,,2.0,,,,,,,,,,,,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,,,,,,,,,,0.0,36.0,7.0,,,2.0,184.0,,
anthony-webb,Anthony Webb,DB,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
anthony-wilson,Anthony Wilson,OL,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
antwane-wells,Antwane Wells,WR,,,,,,,,,,,,,1.0,,,,,,,2.0,237.0,25.0,,,0.0,25.0,,
armani-rogers,Armani Rogers,TE,,,,,,,,,,,,,,,,,,,,0.0,55.0,6.0,,,,,,
ashton-henry,Ashton Henry,K,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
austin-reed,Austin Reed,QB,,,,,,,,,,,9.0,,,,,18.0,1761.0,,,,,,,,0.0,94.0,,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,DST/K/QB,1.0,,2.0,,2.0,3.0,19.0,,299.0,6.0,10.0,8.0,,3.0,,12.0,1855.0,191.0,,,,,,,1.0,103.0,16.0,
baylor-cupp,Baylor Cupp,TE,,,,,,,,,,,,,,,,,,,,0.0,73.0,8.0,,,,,,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,,,,,,,,,,,,,0.0,6.0,1.0,,,,,,
benny-snell,Benny Snell,RB,,,,,,,,,,,,,,,,,,,,0.0,53.0,6.0,,,0.0,72.0,,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,,,,,,,,,0.0,168.0,19.0,,,0.0,3.0,,
brandon-munoz,Brandon Munoz,DL,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,
brandon-sheperd,Brandon Sheperd,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
brandon-silvers,Brandon Silvers,QB,1.0,,,,,,,,,,3.0,,,,,2.0,460.0,,,,,,,,0.0,14.0,,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,,,,,,,,,,0.0,123.0,10.0,,,,,,
briley-moore,Briley Moore,TE,,,,,,,,,,,,,,,,,,,,3.0,122.0,10.0,,,1.0,24.0,,
byron-cooper,Byron Cooper,LB,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
columbus-aviators-dst,COLUMBUS AVIATORS DST,DST/K,,,1.0,1.0,,1.0,18.0,,254.0,2.0,,7.0,,5.0,,,,205.0,,,,,,,,,20.0,
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,,,,1.0,,,,,,8.0,,3.0,,,11.0,1587.0,,,,,,,,4.0,364.0,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
cam-camper,Cam Camper,WR,,,,,,,,,,,,,,,,,,,,2.0,247.0,20.0,,,,,,
cam-mcdonald,Cam McDonald,TE,,,,,,,,,,,,,,,,,,,,0.0,4.0,1.0,,,,,,
cam-sutton,Cam Sutton,TE,,,,,,,,,,,,,,,,,,,,0.0,95.0,10.0,,,,,,
carter-bell,Carter Bell,WR,,,,,,,,,,,,,,,,,,,,0.0,56.0,5.0,,,,,,
chandler-rogers,Chandler Rogers,QB,,,,,1.0,,,,,,3.0,,1.0,,,5.0,1119.0,,,,,,,,1.0,90.0,,
charles-baker,Charles Baker,OL,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
chase-baker,Chase Baker,OL,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
chris-glaser,Chris Glaser,G,,,,,,,,,,,,,,,,,,,,0.0,21.0,1.0,,,,,,
chris-perry,Chris Perry,DB,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,,,,,,,,,4.0,484.0,49.0,,,0.0,55.0,,
christian-atkins,Christian Atkins,LB,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
cole-schneider,Cole Schneider,G/OC,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
colton-theaker,Colton Theaker,K,,,,,,,19.0,,281.0,,,,,7.0,,,,,,,,,,,,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,,,1.0,,,,,,,1.0,421.0,29.0,,,,,,
curtis-hodges,Curtis Hodges,TE,,,,,,,,,,,,,,,,,,,,2.0,208.0,10.0,,,,,,
dallas-renegades-dst,DALLAS RENEGADES DST,DST/K,,,,,,2.0,19.0,,281.0,1.0,,8.0,,7.0,,,,231.0,,,,,,,,,17.0,
