game_id,date,season,week,league,away,home,def_int,def_sack,def_solo,def_tot,def_ydsl,interceptions_made,ret_lg,ret_num,ret_yds,sacks,tackles
FOOTBALL_CFL_2022_10_15_WPG@BC,2022-10-15,2022,1,CFL,WPG,BC,,1.0,1.0,1.0,6.0,,,,,,
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_7_15_CGY@WPG,2022-07-15,2022,1,CFL,CGY,WPG,,1.0,1.0,1.0,10.0,,,,,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_7_30_WPG@CGY,2022-07-30,2022,1,CFL,WPG,CGY,,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_7_4_WPG@TOR,2022-07-04,2022,1,CFL,WPG,TOR,,1.0,1.0,1.0,4.0,,,,,,
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2022_8_25_CGY@WPG,2022-08-25,2022,1,CFL,CGY,WPG,,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2022_8_4_WPG@MTL,2022-08-04,2022,1,CFL,WPG,MTL,,1.0,2.0,2.0,6.0,,,,,,
FOOTBALL_CFL_2022_9_10_SSK@WPG,2022-09-10,2022,1,CFL,SSK,WPG,,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,,,1.0,1.0,,,,,,,
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,,,,,,,,2.0
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,,,0.0,,,,1.0,2.0
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,,,,0.0,,,,1.0,1.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,,,,0.0,,,,1.0,1.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,,,,0.0,,,,0.0,1.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,,,,0.0,,,,0.0,4.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,,,,0.0,,,,0.0,2.0
9889361,2023-10-27,2023,21,CFL,WPG,CGY,,,,,,,,,,,1.0
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,,,,,0.0,,,,0.0,1.0
