game_id,date,season,week,league,away,home,assisted_tackles,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,,,,,,,,4.0,,,,14.5,25.0,0.0,58.0,27.0,27.0,1.0,27.0,1.0,5.5,19.0,13.0,1.0,71.0,,,,
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,0.0,,,,,,,1.0,,,,7.0,7.0,0.0,7.0,5.0,5.0,0.0,5.0,1.0,2.4,10.0,9.0,1.0,22.0,1.0,1.0,1.0,0.0
FOOTBALL_NAL_2026_3_14_T570667G1127141@T581933,2026-03-15,2026,2,NAL,Colorado Spartans,Dallas Bulls,,1.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,,,,,,,,,,,,-5.0,0.0,0.0,-5.0,1.0,14.0,34.0,5.0,0.0,70.0,,,,
FOOTBALL_IFL_2026_5_22_TJACKSONVILLESHARKSG20260522TJEW@TIOWABARNSTORMERS,2026-05-22,2026,11,IFL,Jacksonville Sharks,Iowa Barnstormers,,,,,,,,1.0,,,,5.0,5.0,0.0,5.0,7.5,10.0,0.0,30.0,4.0,4.1,11.0,8.0,1.0,33.0,,,,
FOOTBALL_IFL_2026_5_30_TIOWABARNSTORMERSG20260530KP8L@TTULSAOILERS,2026-05-30,2026,12,IFL,Iowa Barnstormers,Tulsa Oilers,,,,,,,,2.0,,,,11.5,13.0,0.0,23.0,8.5,17.0,0.0,17.0,2.0,3.2,10.0,11.0,0.0,35.0,,,,
FOOTBALL_IFL_2026_6_6_TIOWABARNSTORMERSG202606060Q8D@TORLANDOPIRATES,2026-06-06,2026,13,IFL,Iowa Barnstormers,Orlando Pirates,,,,,,1.0,0.0,4.0,,,,13.5,17.0,0.0,54.0,6.5,10.0,0.0,13.0,2.0,3.7,10.0,17.0,1.0,63.0,,,,
FOOTBALL_IFL_2026_6_13_TQUADCITYSTEAMWHEELERSG20260613M6TV@TIOWABARNSTORMERS,2026-06-13,2026,14,IFL,Quad City Steamwheelers,Iowa Barnstormers,,,,,,,,1.0,,,,9.0,9.0,0.0,9.0,11.6,22.0,0.0,58.0,5.0,-0.3,3.0,4.0,0.0,-1.0,,,,
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,,,,,,1.0,1.0,4.0,,,,3.0,19.0,0.0,12.0,5.7,13.0,0.0,17.0,3.0,2.5,8.0,13.0,1.0,32.0,,,,
FOOTBALL_IFL_2026_7_11_TGREENBAYBLIZZARDG20260711PZT2@TIOWABARNSTORMERS,2026-07-11,2026,18,IFL,Green Bay Blizzard,Iowa Barnstormers,0.0,,,,,,,3.0,,,,7.3,12.0,0.0,22.0,9.5,11.0,0.0,19.0,2.0,2.1,8.0,7.0,0.0,15.0,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_7_18_TIOWABARNSTORMERSG202607188NRO@TJACKSONVILLESHARKS,2026-07-18,2026,19,IFL,Iowa Barnstormers,Jacksonville Sharks,,,,,,,,1.0,,,,10.0,10.0,0.0,10.0,19.0,19.0,0.0,19.0,1.0,0.7,9.0,7.0,0.0,5.0,,,,
FOOTBALL_IFL_2026_7_24_TSANANTONIOGUNSLINGERSG20260724MW4T@TIOWABARNSTORMERS,2026-07-24,2026,20,IFL,San Antonio Gunslingers,Iowa Barnstormers,0.0,,,,,,,1.0,,,,4.0,4.0,0.0,4.0,7.3,17.0,0.0,22.0,3.0,2.2,8.0,12.0,1.0,26.0,1.0,1.0,,
