game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_W10_TOR,,,10,CFL,,,,,,1.0,3.0
SYNTHETIC_CFL_W11_TOR,,,11,CFL,,,,,,1.0,28.0
SYNTHETIC_CFL_W14_TOR,,,14,CFL,,,,,,0.0,3.0
SYNTHETIC_CFL_W16_TOR,,,16,CFL,,,,,,1.0,50.0
SYNTHETIC_CFL_W17_TOR,,,17,CFL,,,1.0,0.0,7.0,0.0,12.0
SYNTHETIC_CFL_W18_TOR,,,18,CFL,,,0.0,0.0,0.0,1.0,4.0
SYNTHETIC_CFL_W20_TOR,,,20,CFL,,,,,,1.0,2.0
SYNTHETIC_CFL_2023_W2_TOR,,2023,2,CFL,,,,,238.0,3.0,28.0
SYNTHETIC_CFL_2023_W3_TOR,,2023,3,CFL,,,2.0,1.0,264.0,0.0,24.0
SYNTHETIC_CFL_2023_W4_TOR,,2023,4,CFL,,,0.0,1.0,249.0,0.0,25.0
SYNTHETIC_CFL_2023_W6_TOR,,2023,6,CFL,,,1.0,3.0,351.0,1.0,13.0
SYNTHETIC_CFL_2023_W7_TOR,,2023,7,CFL,,,0.0,2.0,306.0,1.0,18.0
SYNTHETIC_CFL_2023_W8_TOR,,2023,8,CFL,,,1.0,1.0,122.0,0.0,4.0
SYNTHETIC_CFL_2023_W9_TOR,,2023,9,CFL,,,0.0,1.0,94.0,,
SYNTHETIC_CFL_2023_W10_TOR,,2023,10,CFL,,,1.0,4.0,417.0,0.0,17.0
SYNTHETIC_CFL_2023_W12_TOR,,2023,12,CFL,,,2.0,3.0,361.0,1.0,9.0
SYNTHETIC_CFL_2023_W13_TOR,,2023,13,CFL,,,2.0,2.0,201.0,1.0,27.0
SYNTHETIC_CFL_2023_W14_TOR,,2023,14,CFL,,,0.0,0.0,278.0,1.0,6.0
SYNTHETIC_CFL_2023_W15_TOR,,2023,15,CFL,,,0.0,1.0,275.0,0.0,8.0
SYNTHETIC_CFL_2023_W16_TOR,,2023,16,CFL,,,2.0,2.0,242.0,0.0,10.0
SYNTHETIC_CFL_2023_W18_TOR,,2023,18,CFL,,,0.0,0.0,165.0,0.0,14.0
SYNTHETIC_CFL_2023_W19_TOR,,2023,19,CFL,,,0.0,1.0,287.0,0.0,45.0
SYNTHETIC_CFL_2023_W20_TOR,,2023,20,CFL,,,1.0,1.0,275.0,,
SYNTHETIC_CFL_2024_W12_TOR,,2024,12,CFL,,,1.0,0.0,322.0,0.0,11.0
SYNTHETIC_CFL_2024_W13_TOR,,2024,13,CFL,,,1.0,1.0,322.0,1.0,39.0
SYNTHETIC_CFL_2024_W14_TOR,,2024,14,CFL,,,4.0,3.0,463.0,0.0,6.0
SYNTHETIC_CFL_2024_W15_TOR,,2024,15,CFL,,,0.0,1.0,268.0,1.0,56.0
SYNTHETIC_CFL_2024_W16_TOR,,2024,16,CFL,,,1.0,1.0,255.0,2.0,19.0
SYNTHETIC_CFL_2024_W17_TOR,,2024,17,CFL,,,1.0,0.0,287.0,0.0,25.0
SYNTHETIC_CFL_2024_W19_TOR,,2024,19,CFL,,,0.0,1.0,203.0,0.0,33.0
SYNTHETIC_CFL_2024_W20_TOR,,2024,20,CFL,,,0.0,3.0,331.0,1.0,25.0
