game_id,date,season,week,league,away,home,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_ir,score_pts,score_tot
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,,1.0,,1.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,,3.0,,3.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,,2.0,,2.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,,3.0,,3.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,1.0,7.0,,3.0,,3.0,7.0,,,32.0,1.0,32.0,,,,,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,,4.0,,4.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,,,2.0,,2.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,,4.0,,4.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,,2.0,,2.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,,1.0,,1.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,,6.0,,6.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,1.0,,,4.0,,4.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,,1.0,,1.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,,2.0,,2.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,,,,5.0,,5.0,,,1.0,,,,,,,1.0,,6.0,1.0
