game_id,date,season,week,league,away,home,assists,blocks,completions,drops,goals,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W1_RADICALS,,2022,1,AUDL,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
SYNTHETIC_AUDL_2022_W2_RADICALS,,2022,2,AUDL,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
SYNTHETIC_AUDL_2022_W3_RADICALS,,2022,3,AUDL,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,AUDL,windchill,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2022-07-15-IND-MAD,2022-07-15,2022,8,AUDL,alleycats,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2022-07-16-MAD-DET,2022-07-16,2022,8,AUDL,radicals,mechanix,0.0,1.0,,0.0,1.0,,0.0,65.0,24.0
2022-07-29-CHI-MAD,2022-07-29,2022,10,AUDL,union,radicals,0.0,0.0,,0.0,2.0,,0.0,36.0,0.0
2023-07-08-MAD-DET,2023-07-08,2023,11,AUDL,MADISON RADICALS,DETROIT MECHANIX,,1.0,1.0,,,1.0,,,11.0
2024-05-11-MAD-PIT,2024-05-11,2024,3,UFA,radicals,thunderbirds,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-05-18-MAD-DET,2024-05-18,2024,4,UFA,radicals,mechanix,0.0,1.0,,0.0,3.0,,1.0,100.0,-1.0
2024-05-24-MIN-MAD,2024-05-24,2024,5,UFA,windchill,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-05-31-MAD-CHI,2024-05-31,2024,6,UFA,radicals,union,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-06-02-DET-MAD,2024-06-02,2024,6,UFA,mechanix,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-06-08-MAD-DET,2024-06-08,2024,7,UFA,radicals,mechanix,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-06-14-COL-MAD,2024-06-14,2024,8,UFA,summit,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-06-22-MAD-MIN,2024-06-22,2024,9,UFA,radicals,windchill,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-06-29-MAD-IND,2024-06-29,2024,10,UFA,radicals,alleycats,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-07-06-PIT-MAD,2024-07-06,2024,11,UFA,thunderbirds,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-07-12-CHI-MAD,2024-07-12,2024,12,UFA,union,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2024-07-19-IND-MAD,2024-07-19,2024,13,UFA,alleycats,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2025-04-26-MAD-MIN,2025-04-26,2025,1,UFA,radicals,windchill,0.0,0.0,,0.0,1.0,,0.0,60.0,0.0
2025-05-02-MAD-HTX,2025-05-02,2025,2,UFA,radicals,havoc,0.0,0.0,,0.0,1.0,,0.0,12.0,4.0
2025-05-03-MAD-ATX,2025-05-03,2025,2,UFA,radicals,sol,0.0,0.0,,0.0,0.0,,0.0,11.0,8.0
2025-05-17-PIT-MAD,2025-05-17,2025,4,UFA,thunderbirds,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2025-05-30-IND-MAD,2025-05-30,2025,6,UFA,alleycats,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2025-06-08-MAD-CHI,2025-06-08,2025,7,UFA,radicals,union,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2025-06-13-MIN-MAD,2025-06-13,2025,8,UFA,windchill,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2025-06-14-MAD-DET,2025-06-14,2025,8,UFA,radicals,mechanix,0.0,0.0,,0.0,0.0,,0.0,30.0,-16.0
2025-06-27-DET-MAD,2025-06-27,2025,10,UFA,mechanix,radicals,0.0,1.0,,0.0,0.0,,2.0,54.0,-14.0
2025-06-28-MAD-IND,2025-06-28,2025,10,UFA,radicals,alleycats,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2025-07-05-IND-MAD,2025-07-05,2025,11,UFA,alleycats,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2025-07-12-MAD-MIN,2025-07-12,2025,12,UFA,radicals,windchill,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2025-07-20-CHI-MAD,2025-07-20,2025,13,UFA,union,radicals,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-05-09-MAD-IND,2026-05-09,2026,3,UFA,radicals,alleycats,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-05-15-MAD-PIT,2026-05-15,2026,4,UFA,radicals,thunderbirds,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
