game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_made,forced_fumbles,fumble_recoveries,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_UFL_2026_3_28_BHM@LOU,2026-03-28,2026,1,UFL,BHM,LOU,,,,,,2.0,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2026_4_5_LOU@ORL,2026-04-05,2026,2,UFL,LOU,ORL,,,,,,3.0,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_3_21_T566774G1127144@T600411,2026-03-21,2026,3,NAL,Omaha Beef,Salina Liberty,,,,,,,,,8.0,11.0,0.0,0.0,15.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,,,,
FOOTBALL_UFL_2026_4_11_ORL@LOU,2026-04-11,2026,3,UFL,ORL,LOU,,,,,,2.0,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_3_28_T570667G1127147@T600411,2026-03-28,2026,4,NAL,Colorado Spartans,Salina Liberty,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,16.0,0.0,0.0,37.0,4.0,,,,,,,0.0,0.0,,1.0
FOOTBALL_UFL_2026_4_17_LOU@HOU,2026-04-17,2026,4,UFL,LOU,HOU,,,,,,5.0,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_4_4_T577047G1127185@T600411,2026-04-04,2026,5,NAL,Pueblo Punishers,Salina Liberty,,,,,,,,,15.0,15.0,0.0,0.0,15.0,1.0,,,,,,,,,,
FOOTBALL_UFL_2026_4_26_LOU@DAL,2026-04-26,2026,5,UFL,LOU,DAL,,,,,,2.0,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2026_5_1_STL@LOU,2026-05-01,2026,6,UFL,STL,LOU,,,,,,1.0,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_4_18_T600411G1127157@T570666,2026-04-19,2026,7,NAL,Salina Liberty,Sioux City Bandits,,,,,,,,,5.0,5.0,0.0,0.0,5.0,1.0,,,,,,,,,,
FOOTBALL_UFL_2026_5_9_LOU@DC,2026-05-09,2026,7,UFL,LOU,DC,,,,,,3.0,,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,,,,,,,,,6.0,6.0,,0.0,6.0,1.0,,,,,,,,,,
FOOTBALL_NAL_2026_5_2_T600411G1127164@T573852,2026-05-03,2026,9,NAL,Salina Liberty,Louisiana Rouxgaroux,,,,,,,,,7.0,10.0,0.0,1.0,14.0,2.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
FOOTBALL_NAL_2026_5_9_T600411G1127167@T600414,2026-05-09,2026,10,NAL,Salina Liberty,Southwest Kansas Storm,,,,,,,,,15.0,30.0,0.0,2.0,61.0,4.0,,,,,,,,,,
