game_id,date,season,week,league,away,home,def_int,def_sack,def_solo,def_tot,def_ydsl,lost_fumbles
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,1.0,3.0,3.0,3.0,
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,2.0,2.0,,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,2.0,2.0,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,,2.0,2.0,,
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,,,3.0,3.0,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,1.0,1.0,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,,3.0,3.0,,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,4.0,4.0,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,1.0,1.0,,
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,2.0,2.0,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,2.0,2.0,,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,,,1.0,1.0,,
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,,1.0,1.0,1.0,8.0,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,1.0,1.0,,
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,,,2.0,2.0,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,1.0,,1.0,1.0,,
FOOTBALL_CFL_2017_8_26_BC@OTT,2017-08-26,2017,1,CFL,BC,OTT,1.0,,3.0,3.0,,
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,,2.0,1.0,1.0,14.0,
FOOTBALL_CFL_2017_9_17_OTT@MTL,2017-09-17,2017,1,CFL,OTT,MTL,,2.0,3.0,3.0,12.0,
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,,,3.0,3.0,,
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,2.0,2.0,,
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,,1.0,1.0,,
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,1.0,1.0,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,1.0,1.0,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,,1.0,1.0,1.0,11.0,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,1.0,1.0,,
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,1.0,3.0,3.0,6.0,
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,,1.0,3.0,3.0,7.0,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,1.0,1.0,,
FOOTBALL_CFL_2019_7_5_WPG@OTT,2019-07-05,2019,1,CFL,WPG,OTT,,,1.0,1.0,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,1.0,2.0,2.0,8.0,
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,1.0,1.0,,
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,1.0,3.0,3.0,3.0,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,1.0,1.0,,
SYNTHETIC_USFL_2022_W5_BHAM,,2022,5,USFL,,,,,,,,0.0
SYNTHETIC_USFL_2022_W8_BHAM,,2022,8,USFL,,,,,,,,0.0
