game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,interceptions,pass_attempts,pass_completions,pass_defended,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yds_lost,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards
BILLINGS-OREGON,,,1,,,,,,,,,,,,,,,,,2.0,55.0,,,,,,,,1.0,,,,,,
FOOTBALL_UFL_2025_3_30_MICH@MEM,2025-03-30,2025,1,UFL,MICH,MEM,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_29_T425357G979259@T425361,2025-03-30,2025,4,NAL,Colorado Spartans,Sioux City Bandits,,385.0,2.0,39.0,15.0,,24.0,25.0,13.0,67.0,0.0,4.0,103.0,,192.0,0.0,,2.0,3.0,2.0,0.0,0.0,3.0,,,,,,
FOOTBALL_UFL_2025_5_17_MICH@HOU,2025-05-17,2025,8,UFL,MICH,HOU,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_3_T425362G979277@T425357,2025-05-04,2025,9,NAL,Wheeling Miners,Colorado Spartans,,607.0,2.0,28.0,17.0,,11.0,17.0,7.0,65.0,1.0,2.0,71.0,,122.0,7.0,,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_15_T425357G979285@T425358,2025-05-16,2025,11,NAL,Colorado Spartans,Idaho Horsemen,,619.0,0.0,21.0,13.0,,8.0,36.0,14.0,130.0,0.0,6.0,286.0,,183.0,0.0,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_24_TARIZONARATTLERSG2026052419QZ@TVEGASKNIGHTHAWKS,2026-05-24,2026,,IFL,Arizona Rattlers,Vegas Knight Hawks,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,
FOOTBALL_IFL_2026_3_28_TSANDIEGOSTRIKEFORCEG20260328BGUR@TARIZONARATTLERS,2026-03-28,2026,3,IFL,San Diego Strike Force,Arizona Rattlers,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,0.0
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0
FOOTBALL_IFL_2026_4_25_TTULSAOILERSG20260425FEQM@TARIZONARATTLERS,2026-04-25,2026,7,IFL,Tulsa Oilers,Arizona Rattlers,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,0.0,1.0,0.5,0.0
FOOTBALL_IFL_2026_5_3_TARIZONARATTLERSG202605032RVU@TVEGASKNIGHTHAWKS,2026-05-03,2026,8,IFL,Arizona Rattlers,Vegas Knight Hawks,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,
