game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,,,,,,,10.0,2.0,2.0,23.0,10.0,5.0,4.0
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,,15.0,1.0,,,15.0,5.0,1.0,1.0,31.0,5.0,3.0,2.0
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,,,,,,,11.0,3.0,3.0,43.0,11.0,3.0,2.0
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,,,,,,,,,11.0,3.0,3.0,42.0,11.0,2.0,2.0
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,,,,,,,5.0,2.0,1.0,33.0,5.0,2.0,2.0
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,,,,,,,,,11.0,2.0,2.0,40.0,11.0,5.0,5.0
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,,,,,,,18.0,5.0,5.0,39.0,18.0,3.0,3.0
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,,,,,,,8.0,3.0,2.0,29.0,8.0,2.0,2.0
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,,,,,,,7.0,1.0,1.0,42.0,7.0,4.0,4.0
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,,,,,,,9.0,2.0,2.0,51.0,9.0,3.0,3.0
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,,,,,,,7.0,2.0,2.0,24.0,7.0,2.0,1.0
